Date,HDD,CDD,AvgTemp
2017-12-01,14.3,0,45.70
2017-12-02,21.3,0,38.70
2017-12-03,20.4,0,39.60
2017-12-04,21.7,0,38.30
2017-12-05,14.5,0,45.50
2017-12-06,13.1,0,46.90
2017-12-07,20.6,0,39.40
2017-12-08,24,0,36.00
2017-12-09,26.6,0,33.40
2017-12-10,26.5,0,33.50
2017-12-11,25.3,0,34.70
2017-12-12,20.7,0,39.30
2017-12-13,34.9,0,25.10
2017-12-14,36,0,24.00
2017-12-15,37.1,0,22.90
2017-12-16,32.4,0,27.60
2017-12-17,35.1,0,24.90
2017-12-18,30.3,0,29.70
2017-12-19,17.2,0,42.80
2017-12-20,19.9,0,40.10
2017-12-21,30.7,0,29.30
2017-12-22,31.3,0,28.70
2017-12-23,28.9,0,31.10
2017-12-24,25.1,0,34.90
2017-12-25,28.2,0,31.80
2017-12-26,36.5,0,23.50
2017-12-27,43.5,0,16.50
2017-12-28,51.5,0,8.50
2017-12-29,53,0,7.00
2017-12-30,47.7,0,12.30
2017-12-31,50.2,0,9.80
2018-01-01,54.2,0,5.80
2018-01-02,47.8,0,12.20
2018-01-03,37.2,0,22.80
2018-01-04,34.1,0,25.90
2018-01-05,46.2,0,13.80
2018-01-06,52,0,8.00
2018-01-07,53,0,7.00
2018-01-08,31.6,0,28.40
2018-01-09,24.4,0,35.60
2018-01-10,29.2,0,30.80
2018-01-11,17.3,0,42.70
2018-01-12,7.4,0,52.60
2018-01-13,17.8,0,42.20
2018-01-14,42.1,0,17.90
2018-01-15,43.4,0,16.60
2018-01-16,32.8,0,27.20
2018-01-17,27.7,0,32.30
2018-01-18,33,0,27.00
2018-01-19,31.1,0,28.90
2018-01-20,20.3,0,39.70
2018-01-21,18.7,0,41.30
2018-01-22,23.3,0,36.70
2018-01-23,21.4,0,38.60
2018-01-24,24.5,0,35.50
2018-01-25,35.6,0,24.40
2018-01-26,34.2,0,25.80
2018-01-27,18.5,0,41.50
2018-01-28,11.9,0,48.10
2018-01-29,25,0,35.00
2018-01-30,34.2,0,25.80
2018-01-31,35.7,0,24.30
2018-02-01,22.8,0,37.20
2018-02-02,33.1,0,26.90
2018-02-03,40.6,0,19.40
2018-02-04,23.7,0,36.30
2018-02-05,23.5,0,36.50
2018-02-06,32.3,0,27.70
2018-02-07,29,0,31.00
2018-02-08,32.5,0,27.50
2018-02-09,32.3,0,27.70
2018-02-10,17.2,0,42.80
2018-02-11,18.8,0,41.20
2018-02-12,19.7,0,40.30
2018-02-13,32.1,0,27.90
2018-02-14,21.8,0,38.20
2018-02-15,16.5,0,43.50
2018-02-16,13.1,0,46.90
2018-02-17,28.6,0,31.40
2018-02-18,23.4,0,36.60
2018-02-19,19.8,0,40.20
2018-02-20,7.2,1.8,61.80
2018-02-21,3.8,3.7,63.70
2018-02-22,20.3,0,39.70
2018-02-23,24.1,0,35.90
2018-02-24,13.8,0,46.20
2018-02-25,20.5,0,39.50
2018-02-26,16.2,0,43.80
2018-02-27,16.4,0,43.60
2018-02-28,11.8,0,48.20
2018-03-01,14,0,46.00
2018-03-02,20.7,0,39.30
2018-03-03,19.9,0,40.10
2018-03-04,21.5,0,38.50
2018-03-05,23.3,0,36.70
2018-03-06,25.4,0,34.60
2018-03-07,24,0,36.00
2018-03-08,26.2,0,33.80
2018-03-09,26.6,0,33.40
2018-03-10,24.2,0,35.80
2018-03-11,21.4,0,38.60
2018-03-12,23.3,0,36.70
2018-03-13,28.1,0,31.90
2018-03-14,25.8,0,34.20
2018-03-15,23.2,0,36.80
2018-03-16,26.6,0,33.40
2018-03-17,30.2,0,29.80
2018-03-18,36,0,24.00
2018-03-19,31.7,0,28.30
2018-03-20,28.3,0,31.70
2018-03-21,25.2,0,34.80
2018-03-22,24.1,0,35.90
2018-03-23,21.9,0,38.10
2018-03-24,20.2,0,39.80
2018-03-25,25.3,0,34.70
2018-03-26,25.3,0,34.70
2018-03-27,24,0,36.00
2018-03-28,17.6,0,42.40
2018-03-29,16.9,0,43.10
2018-03-30,7.8,0.2,60.20
2018-03-31,14.6,0,45.40
2018-04-01,12.2,0,47.80
2018-04-02,24,0,36.00
2018-04-03,21.6,0,38.40
2018-04-04,13.9,0,46.10
2018-04-05,23.7,0,36.30
2018-04-06,24.5,0,35.50
2018-04-07,19.4,0,40.60
2018-04-08,23.7,0,36.30
2018-04-09,23,0,37.00
2018-04-10,22,0,38.00
